SK_ID_CURR,application_date,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
105576,1/17/2018,0,Cash loans,M,N,N,1,78750.0,358443.0,16839.0,252000.0,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,0.04622,-14955,-1502,-7528,-4177,,1,1,0,1,0,0,Drivers,3.0,1,1,MONDAY,12,0,0,0,0,0,0,Postal,,0.766404126,0.729566691,0.0711,0.0,0.9796,0.7212,0.0094,0.0,0.1379,0.1667,0.2083,0.0,0.058,0.0633,0.0,0.0,0.0725,0.0,0.9796,0.7321,0.0094,0.0,0.1379,0.1667,0.2083,0.0,0.0634,0.0659,0.0,0.0,0.0718,0.0,0.9796,0.7249,0.0094,0.0,0.1379,0.1667,0.2083,0.0,0.059,0.0644,0.0,0.0,reg oper account,block of flats,0.0549,"Stone, brick",No,0.0,0.0,0.0,0.0,-242.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
104897,1/15/2018,0,Cash loans,F,N,Y,0,54000.0,834048.0,27693.0,720000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.005144,-15449,-4263,-5917,-4425,,1,1,0,1,0,0,Sales staff,2.0,2,2,SATURDAY,10,0,0,0,0,0,0,Self-employed,0.784297684,0.190397467,0.771361592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-2814.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0
135207,4/19/2018,0,Cash loans,M,Y,N,0,180000.0,225000.0,16002.0,225000.0,Family,Pensioner,Higher education,Married,House / apartment,0.072508,-19686,365243,-5780,-3197,26.0,1,0,0,1,1,0,,2.0,1,1,SUNDAY,15,0,0,0,0,0,0,XNA,,0.683290973,0.562060483,0.1485,0.0937,0.9781,0.7008,0.0629,0.16,0.1379,0.3333,0.0417,0.0,0.121,0.0975,0.0,0.0,0.1513,0.0964,0.9782,0.7125,0.0635,0.1611,0.1379,0.3333,0.0417,0.0,0.1322,0.1014,0.0,0.0,0.1499,0.0937,0.9781,0.7048,0.0633,0.16,0.1379,0.3333,0.0417,0.0,0.1231,0.0992,0.0,0.0,reg oper account,block of flats,0.1109,Panel,No,0.0,0.0,0.0,0.0,-1855.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0
127483,3/26/2018,0,Cash loans,F,N,N,1,180000.0,193500.0,10008.0,193500.0,Unaccompanied,Commercial associate,Higher education,Single / not married,With parents,0.019689,-10334,-260,-10303,-189,,1,1,0,1,0,0,Accountants,2.0,2,2,SATURDAY,10,0,0,0,0,1,1,Bank,0.292638226,0.451986932,0.609275667,0.0825,0.0805,0.9757,0.6668,0.0572,0.0,0.1379,0.1667,0.2083,0.0746,0.0672,0.063,0.0,0.0176,0.084,0.0836,0.9757,0.6798,0.0578,0.0,0.1379,0.1667,0.2083,0.0763,0.0735,0.0656,0.0,0.0187,0.0833,0.0805,0.9757,0.6713,0.0576,0.0,0.1379,0.1667,0.2083,0.0759,0.0684,0.0641,0.0,0.018,reg oper account,block of flats,0.0534,"Stone, brick",No,0.0,0.0,0.0,0.0,-587.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
125549,3/20/2018,0,Cash loans,F,Y,Y,1,180000.0,1428408.0,76234.5,1350000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.020713,-14069,-1546,-8086,-4746,13.0,1,1,0,1,1,0,Sales staff,3.0,3,2,WEDNESDAY,14,0,0,0,0,0,0,Medicine,,0.454121897,0.334454126,0.1155,0.0716,0.9816,0.7484,0.0216,0.0,0.2414,0.1667,0.2083,0.0771,0.0941,0.1225,0.0,0.0,0.1176,0.0743,0.9816,0.7583,0.0218,0.0,0.2414,0.1667,0.2083,0.0789,0.1028,0.1276,0.0,0.0,0.1166,0.0716,0.9816,0.7518,0.0217,0.0,0.2414,0.1667,0.2083,0.0784,0.0958,0.1247,0.0,0.0,reg oper spec account,block of flats,0.1081,Panel,No,6.0,0.0,6.0,0.0,-1675.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
135139,4/18/2018,0,Revolving loans,F,Y,Y,2,225000.0,405000.0,20250.0,405000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.04622,-14067,-1232,-1198,-3613,3.0,1,1,0,1,1,0,Accountants,4.0,1,1,FRIDAY,13,0,0,0,0,1,1,Trade: type 7,,0.755203459,0.225086862,0.2505,0.2273,0.9851,0.796,0.0553,0.28,0.2414,0.3333,0.0417,0.1424,0.2017,0.2476,0.0116,0.0897,0.2553,0.2358,0.9851,0.804,0.0558,0.282,0.2414,0.3333,0.0417,0.1457,0.2204,0.2579,0.0117,0.0949,0.2529,0.2273,0.9851,0.7987,0.0556,0.28,0.2414,0.3333,0.0417,0.1449,0.2052,0.252,0.0116,0.0915,reg oper account,block of flats,0.2142,"Stone, brick",No,2.0,0.0,2.0,0.0,-1056.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0
105385,1/17/2018,0,Cash loans,F,N,Y,0,135000.0,296280.0,16200.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.04622,-22751,-4219,-7582,-5040,,1,1,1,1,1,0,Secretaries,1.0,1,1,SATURDAY,12,0,0,0,0,0,0,School,,0.666189627,0.617826147,0.0433,0.0314,0.9771,0.6872,0.0163,0.04,0.0345,0.3333,0.375,0.0,0.0336,0.0239,0.0077,0.0411,0.0441,0.0326,0.9772,0.6994,0.0165,0.0403,0.0345,0.3333,0.375,0.0,0.0367,0.0249,0.0078,0.0435,0.0437,0.0314,0.9771,0.6914,0.0164,0.04,0.0345,0.3333,0.375,0.0,0.0342,0.0243,0.0078,0.0419,reg oper account,block of flats,0.0282,Panel,No,7.0,0.0,7.0,0.0,-1991.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
117052,2/22/2018,0,Cash loans,F,N,Y,0,81000.0,479974.5,25258.5,364500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,-15818,-385,-916,-5165,,1,1,1,1,1,0,Sales staff,2.0,2,2,TUESDAY,13,0,0,0,0,0,0,Self-employed,0.775097511,0.636597544,0.452533559,0.1649,0.0,0.9771,0.6872,0.0,0.0,0.1034,0.1667,0.0,0.0142,0.1345,0.0688,0.0,0.0,0.1681,0.0,0.9772,0.6994,0.0,0.0,0.1034,0.1667,0.0,0.0146,0.1469,0.0717,0.0,0.0,0.1665,0.0,0.9771,0.6914,0.0,0.0,0.1034,0.1667,0.0,0.0145,0.1368,0.0701,0.0,0.0,reg oper spec account,block of flats,0.0577,"Stone, brick",No,1.0,0.0,1.0,0.0,-815.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
155045,6/19/2018,0,Revolving loans,F,N,Y,0,112500.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.031329,-8342,-1254,-104,-1028,,1,1,1,1,1,0,Cooking staff,1.0,2,2,THURSDAY,10,0,0,0,1,1,0,Self-employed,0.413498657,0.351852301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,-1372.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
108746,1/27/2018,0,Cash loans,M,N,Y,0,135000.0,446931.0,21865.5,369000.0,Unaccompanied,State servant,Higher education,Single / not married,House / apartment,0.002506,-10218,-623,-8652,-658,,1,1,0,1,0,0,Core staff,1.0,2,2,FRIDAY,7,0,0,0,0,0,0,Government,,0.740060664,0.128504377,0.0577,0.076,0.9886,0.8436,0.0599,0.0,0.1379,0.1667,0.2083,,0.0471,0.0315,0.0,,0.0588,0.0789,0.9886,0.8497,0.0604,0.0,0.1379,0.1667,0.2083,,0.0514,0.0328,0.0,,0.0583,0.076,0.9886,0.8457,0.0602,0.0,0.1379,0.1667,0.2083,,0.0479,0.0321,0.0,,reg oper spec account,block of flats,0.0434,Block,No,0.0,0.0,0.0,0.0,-333.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
