feat1,feat2,corr
DAYS_EMPLOYED,FLAG_EMP_PHONE,-1.0
YEARS_BUILD_AVG,YEARS_BUILD_MEDI,0.999
COMMONAREA_AVG,COMMONAREA_MEDI,0.999
NONLIVINGAPARTMENTS_AVG,NONLIVINGAPARTMENTS_MEDI,0.999
LIVINGAPARTMENTS_AVG,LIVINGAPARTMENTS_MEDI,0.998
OBS_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,0.998
APARTMENTS_AVG,APARTMENTS_MEDI,0.997
BASEMENTAREA_AVG,BASEMENTAREA_MEDI,0.997
ENTRANCES_AVG,ENTRANCES_MEDI,0.997
FLOORSMIN_AVG,FLOORSMIN_MEDI,0.997
LIVINGAREA_AVG,LIVINGAREA_MEDI,0.997
ELEVATORS_AVG,ELEVATORS_MEDI,0.996
FLOORSMAX_AVG,FLOORSMAX_MEDI,0.996
LANDAREA_AVG,LANDAREA_MEDI,0.996
YEARS_BEGINEXPLUATATION_AVG,YEARS_BEGINEXPLUATATION_MEDI,0.993
NONLIVINGAREA_AVG,NONLIVINGAREA_MEDI,0.993
NONLIVINGAPARTMENTS_MODE,NONLIVINGAPARTMENTS_MEDI,0.993
NONLIVINGAPARTMENTS_AVG,NONLIVINGAPARTMENTS_MODE,0.991
FLOORSMAX_MODE,FLOORSMAX_MEDI,0.988
FLOORSMIN_MODE,FLOORSMIN_MEDI,0.988
AMT_CREDIT,AMT_GOODS_PRICE,0.987
YEARS_BUILD_AVG,YEARS_BUILD_MODE,0.987
FLOORSMAX_AVG,FLOORSMAX_MODE,0.986
FLOORSMIN_AVG,FLOORSMIN_MODE,0.986
YEARS_BUILD_MODE,YEARS_BUILD_MEDI,0.986
LANDAREA_AVG,LANDAREA_MODE,0.983
ELEVATORS_MODE,ELEVATORS_MEDI,0.983
LANDAREA_MODE,LANDAREA_MEDI,0.983
BASEMENTAREA_MODE,BASEMENTAREA_MEDI,0.981
BASEMENTAREA_AVG,BASEMENTAREA_MODE,0.98
APARTMENTS_MODE,APARTMENTS_MEDI,0.979
ENTRANCES_MODE,ENTRANCES_MEDI,0.979
NONLIVINGAREA_MODE,NONLIVINGAREA_MEDI,0.979
COMMONAREA_AVG,COMMONAREA_MODE,0.978
ELEVATORS_AVG,ELEVATORS_MODE,0.978
APARTMENTS_AVG,APARTMENTS_MODE,0.977
COMMONAREA_MODE,COMMONAREA_MEDI,0.977
LIVINGAPARTMENTS_MODE,LIVINGAPARTMENTS_MEDI,0.977
LIVINGAREA_MODE,LIVINGAREA_MEDI,0.977
ENTRANCES_AVG,ENTRANCES_MODE,0.976
LIVINGAPARTMENTS_AVG,LIVINGAPARTMENTS_MODE,0.976
LIVINGAREA_AVG,LIVINGAREA_MODE,0.976
NONLIVINGAREA_AVG,NONLIVINGAREA_MODE,0.972
YEARS_BEGINEXPLUATATION_AVG,YEARS_BEGINEXPLUATATION_MODE,0.969
APARTMENTS_AVG,LIVINGAPARTMENTS_AVG,0.956
APARTMENTS_AVG,LIVINGAPARTMENTS_MEDI,0.955
APARTMENTS_MEDI,LIVINGAPARTMENTS_MEDI,0.955
LIVINGAPARTMENTS_AVG,APARTMENTS_MEDI,0.953
APARTMENTS_MODE,LIVINGAPARTMENTS_MODE,0.952
REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,0.951
YEARS_BEGINEXPLUATATION_MODE,YEARS_BEGINEXPLUATATION_MEDI,0.949
APARTMENTS_AVG,LIVINGAPARTMENTS_MODE,0.944
LIVINGAPARTMENTS_MODE,APARTMENTS_MEDI,0.944
APARTMENTS_MODE,LIVINGAPARTMENTS_MEDI,0.929
LIVINGAPARTMENTS_AVG,APARTMENTS_MODE,0.928
LIVINGAREA_AVG,TOTALAREA_MODE,0.927
LIVINGAREA_MEDI,TOTALAREA_MODE,0.921
APARTMENTS_AVG,LIVINGAREA_AVG,0.916
APARTMENTS_MEDI,LIVINGAREA_MEDI,0.916
APARTMENTS_AVG,LIVINGAREA_MEDI,0.914
LIVINGAREA_AVG,APARTMENTS_MEDI,0.914
APARTMENTS_MODE,LIVINGAREA_MODE,0.91
