repeat,fold,model_name,strategy,display_name,roc_auc,pr_auc,recall,precision,f1,f2,cost_per_applicant,best_f1,best_f1_threshold,n_false_negatives,n_false_positives,,,,,,,
1,1,logistic_regression,baseline,Logistic Regression (Baseline),0.743737064,0.219937389,0.007209372,0.387096774,0.014155116,0.008969951,0.806985025,0.295071265,0.14936623,3305,38,,,,,,,
1,1,logistic_regression,cost_sensitive,Logistic Regression (Cost-Sensitive),0.743677632,0.218899825,0.683388405,0.160425922,0.259851513,0.413681493,0.54743671,0.293706294,0.628971696,1054,11906,,,,,,,
1,1,logistic_regression,smote,Logistic Regression (SMOTE),0.736472693,0.214376396,0.671372785,0.161220515,0.260004653,0.41116303,0.550412175,0.288858572,0.634056091,1094,11628,,,,,,,
1,1,random_forest,baseline,Random Forest (Baseline),0.741812943,0.222014508,0.000600781,0.4,0.00119976,0.000750694,0.811497,0.292862399,0.139208181,3327,3,,,,,,,
1,1,random_forest,cost_sensitive,Random Forest (Cost-Sensitive),0.742830626,0.224784959,0.625413037,0.172293942,0.270161552,0.40984252,0.548070826,0.293843372,0.587152878,1247,10002,,,,,,,
1,1,random_forest,smote,Random Forest (SMOTE),0.708733301,0.170859239,0.215079603,0.21916131,0.217101273,0.215883736,0.699502463,0.253296107,0.373368069,2613,2551,,,,,,,
1,1,xgboost,baseline,XGBoost (Baseline),0.758381761,0.244485567,0.021027336,0.546875,0.040497541,0.026033918,0.796253841,0.310143043,0.149943918,3259,58,,,,,3,4,5
1,1,xgboost,cost_sensitive,XGBoost (Cost-Sensitive),0.755403152,0.241188056,0.65064584,0.177832512,0.279321684,0.424772513,0.527876689,0.304848142,0.608547032,1163,10014,,,,,,,
1,1,xgboost,smote,XGBoost (SMOTE),0.738091499,0.217984384,0.015620306,0.495238095,0.030285381,0.019372625,0.800521926,0.291647224,0.191157565,3277,53,,,,,,,
1,2,logistic_regression,baseline,Logistic Regression (Baseline),0.748316454,0.226788506,0.009612496,0.581818182,0.01891253,0.011966195,0.804668065,0.297639945,0.136967853,3297,23,,,,,,,
1,2,logistic_regression,cost_sensitive,Logistic Regression (Cost-Sensitive),0.748319392,0.225022452,0.683688795,0.160033751,0.259358441,0.413247149,0.548168382,0.296528731,0.642585754,1053,11946,,,,,,,
