case,applicant_id,predicted_default_prob,actual_default,factor_rank,feature,display_name,feature_value,shap_impact
Case 1,187933,0.7697581052780151,1,1,EXT_SOURCES_MEAN,External Bureau Scores (Mean),-2.3560216426849365,1.3122570514678955
Case 1,187933,0.7697581052780151,1,2,PAYMENT_RATE,Payment Rate (Annuity/Credit),0.6570040583610535,0.36874303221702576
Case 1,187933,0.7697581052780151,1,3,EXT_SOURCE_2,Bureau Score 2,-2.057265281677246,0.3130280673503876
Case 1,187933,0.7697581052780151,1,4,EXT_SOURCES_MIN,External Bureau Scores (Min),-1.3292410373687744,0.22718682885169983
Case 1,187933,0.7697581052780151,1,5,GOODS_CREDIT_RATIO,Goods-to-Credit Ratio,-0.8131759762763977,0.20678581297397614
Case 2,237456,0.004429824650287628,0,1,EXT_SOURCES_MEAN,External Bureau Scores (Mean),0.8329183459281921,-0.7392969131469727
Case 2,237456,0.004429824650287628,0,2,DOCUMENT_COUNT,Verification Documents Count,1.0,-0.23525910079479218
Case 2,237456,0.004429824650287628,0,3,EXT_SOURCE_2_3_PROD,Bureau Interaction (2x3),1.217748999595642,-0.19554167985916138
Case 2,237456,0.004429824650287628,0,4,EXT_SOURCES_MAX,External Bureau Scores (Max),0.8661613464355469,-0.1889631748199463
Case 2,237456,0.004429824650287628,0,5,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Higher education,1.0,-0.14584019780158997
Case 3,334854,0.5233588814735413,0,1,EXT_SOURCES_MEAN,External Bureau Scores (Mean),-1.9383745193481445,0.9102751016616821
Case 3,334854,0.5233588814735413,0,2,GOODS_CREDIT_RATIO,Goods-to-Credit Ratio,-1.1542888879776,0.2109908163547516
Case 3,334854,0.5233588814735413,0,3,PAYMENT_RATE,Payment Rate (Annuity/Credit),-0.11672484874725342,0.17081724107265472
Case 3,334854,0.5233588814735413,0,4,CREDIT_GOODS_DIFF,Credit Minus Goods Price,1.425539493560791,0.1171468123793602
Case 3,334854,0.5233588814735413,0,5,AMT_GOODS_PRICE,Goods Price,-0.040816325694322586,0.11484786123037338
