rank,feature,display_name,mean_abs_shap
1,EXT_SOURCES_MEAN,External Bureau Scores (Mean),0.4384355
2,PAYMENT_RATE,Payment Rate (Annuity/Credit),0.12783761
3,GOODS_CREDIT_RATIO,Goods-to-Credit Ratio,0.078776814
4,EXT_SOURCE_2_3_PROD,Bureau Interaction (2x3),0.07739215
5,EXT_SOURCES_MAX,External Bureau Scores (Max),0.072536804
6,EXT_SOURCE_3,Bureau Score 3,0.06876144
7,AMT_ANNUITY,Loan Annuity,0.061989613
8,DAYS_EMPLOYED_PERCENT,Employment % of Adult Life,0.060195807
9,CREDIT_GOODS_DIFF,Credit Minus Goods Price,0.059412085
10,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Higher education,0.058741085
11,CODE_GENDER_F,CODE_GENDER_F,0.05815319
12,AMT_GOODS_PRICE,Goods Price,0.05644215
13,CODE_GENDER_M,CODE_GENDER_M,0.053015236
14,EXT_SOURCES_MIN,External Bureau Scores (Min),0.046465483
15,FLAG_OWN_CAR_N,FLAG_OWN_CAR_N,0.04379129
16,DAYS_ID_PUBLISH,Days Since ID Publish,0.043581128
17,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Married,0.037921216
18,DEF_30_CNT_SOCIAL_CIRCLE,Defaults in Social Circle (30 DPD),0.03540754
19,ANNUITY_INCOME_PERCENT,Debt Service Ratio (Annuity/Income),0.034766536
20,AGE_YEARS,Age (Years),0.03470445
21,DAYS_BIRTH,Age (Days),0.034341387
22,FLAG_WORK_PHONE,FLAG_WORK_PHONE,0.03280822
23,FLAG_DOCUMENT_3,FLAG_DOCUMENT_3,0.030557297
24,ID_PUBLISH_TO_BIRTH_RATIO,ID Publish / Age Ratio,0.028724374
25,REGION_POPULATION_RELATIVE,REGION_POPULATION_RELATIVE,0.026033567
26,DAYS_EMPLOYED,Employment Length (Days),0.025177319
27,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_QRT,0.024824198
28,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_EDUCATION_TYPE_Secondary / secondary special,0.024438562
29,DAYS_LAST_PHONE_CHANGE,Days Since Phone Change,0.024311652
30,EXT_SOURCE_1_3_PROD,Bureau Interaction (1x3),0.024238529
