rank,feature,display_name,mean_abs_shap
1,EXT_SOURCE_3,Bureau Score 3,0.25586113
2,EXT_SOURCES_MIN,External Bureau Scores (Min),0.22192355
3,EXT_SOURCES_MEAN,External Bureau Scores (Mean),0.22114225
4,CODE_GENDER_F,CODE_GENDER_F,0.1945998
5,FLAG_DOCUMENT_3,FLAG_DOCUMENT_3,0.18917778
6,ANNUITY_INCOME_PERCENT,Debt Service Ratio (Annuity/Income),0.17381878
7,FLAG_OWN_CAR_Y,FLAG_OWN_CAR_Y,0.17329416
8,EXT_SOURCES_STD,External Bureau Scores (Std Dev),0.17292447
9,EXT_SOURCE_2,Bureau Score 2,0.16978797
10,PAYMENT_RATE,Payment Rate (Annuity/Credit),0.14673363
11,AMT_GOODS_PRICE,Goods Price,0.1296353
12,FLAG_OWN_REALTY_N,FLAG_OWN_REALTY_N,0.12573133
13,EXT_SOURCES_MAX,External Bureau Scores (Max),0.12486271
14,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Married,0.11619384
15,FLAG_OWN_REALTY_Y,FLAG_OWN_REALTY_Y,0.11423582
16,AMT_ANNUITY,Loan Annuity,0.113510475
17,HOUSETYPE_MODE_block of flats,HOUSETYPE_MODE_block of flats,0.11155774
18,EMERGENCYSTATE_MODE_No,EMERGENCYSTATE_MODE_No,0.11046198
19,AMT_CREDIT,Total Credit Amount,0.10580455
20,CREDIT_INCOME_PERCENT,Debt-to-Income Ratio,0.1055644
21,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Higher education,0.1029263
22,HOUSETYPE_MODE_Missing,HOUSETYPE_MODE_Missing,0.08851921
23,EMERGENCYSTATE_MODE_Missing,EMERGENCYSTATE_MODE_Missing,0.07246929
24,AMT_INCOME_TOTAL,Total Income,0.072455786
25,DAYS_ID_PUBLISH,Days Since ID Publish,0.07233012
26,CNT_FAM_MEMBERS,Family Members,0.071938425
27,CREDIT_GOODS_DIFF,Credit Minus Goods Price,0.067839555
28,WALLSMATERIAL_MODE_Missing,WALLSMATERIAL_MODE_Missing,0.0648961
29,DAYS_EMPLOYED_PERCENT,Employment % of Adult Life,0.06413482
30,GOODS_CREDIT_RATIO,Goods-to-Credit Ratio,0.06406919
