category,comparison,metric,n_observations,mean_a,mean_b,mean_diff,std_diff,t_statistic,p_value_ttest,wilcoxon_statistic,p_value_wilcoxon,cohen_d,hedges_g,ci95_lower,ci95_upper,significant_alpha_0.05,significant_alpha_0.01,effect_size_interpretation
Model Family,XGBoost (Baseline) vs Logistic Regression (Baseline),roc_auc,15,0.7621920125117504,0.7475312439615259,0.014660768550224475,0.002016698349394234,28.155382015697302,1.0006131569790098e-13,0.0,6.103515625e-05,7.2696883768602305,6.873159919940582,0.01354395822942561,0.015777578871023337,True,True,Large
Model Family,XGBoost (Baseline) vs Random Forest (Baseline),roc_auc,15,0.7621920125117504,0.7455483132736641,0.016643699238086375,0.0012006374062228172,53.6887903327833,1.2937301601975664e-17,0.0,6.103515625e-05,13.862386055792765,13.106255907294978,0.01597880840440786,0.01730859007176489,True,True,Large
Model Family,Logistic Regression (Baseline) vs Random Forest (Baseline),roc_auc,15,0.7475312439615259,0.7455483132736641,0.0019829306878618985,0.0013676680658280377,5.615293449235487,6.371286234318405e-05,0.0,6.103515625e-05,1.4498625341971099,1.370779123240904,0.0012255413580186064,0.0027403200177051907,True,True,Large
Model Family,XGBoost (Baseline) vs Logistic Regression (Baseline),pr_auc,15,0.25020954213429963,0.22757711531433328,0.0226324268199664,0.002249111064117364,38.97318080749698,1.1146839816814973e-15,0.0,6.103515625e-05,10.062832014411088,9.513950268170483,0.021386910627728888,0.023877943012203914,True,True,Large
Model Family,XGBoost (Baseline) vs Random Forest (Baseline),pr_auc,15,0.25020954213429963,0.22999286976884292,0.020216672365456757,0.0027129334566707657,28.861318066839655,7.113627903580157e-14,0.0,6.103515625e-05,7.451960281497681,7.045489720688717,0.018714299893658713,0.0217190448372548,True,True,Large
Model Family,Logistic Regression (Baseline) vs Random Forest (Baseline),pr_auc,15,0.22757711531433328,0.22999286976884292,-0.0024157544545096426,0.0035498188297972775,-2.6356772611340675,0.01956855553807454,25.0,0.04791259765625,-0.6805289425566546,-0.6434091820535643,-0.004381578598350774,-0.00044993031066851074,True,False,Medium
Imbalance Strategy,XGBoost (Cost-Sensitive) vs XGBoost (Baseline),roc_auc,15,0.7599586585953617,0.7621920125117504,-0.0022333539163886733,0.0014380255143461597,-6.015013251203197,3.171886564581734e-05,2.0,0.00018310546875,-1.5530697432751273,-1.468356848187393,-0.003029705902532902,-0.0014370019302444447,True,True,Large
Imbalance Strategy,XGBoost (SMOTE) vs XGBoost (Baseline),roc_auc,15,0.743751911411513,0.7621920125117504,-0.018440101100237558,0.0026245080534406185,-27.21203479256804,1.599502516078446e-13,0.0,6.103515625e-05,-7.026117171202188,-6.642874416409341,-0.019893505215921314,-0.016986696984553802,True,True,Large
Imbalance Strategy,Random Forest (Cost-Sensitive) vs Random Forest (Baseline),roc_auc,15,0.7473580833272053,0.7455483132736641,0.0018097700535415558,0.0007565349173048156,9.264885357574672,2.384649882485485e-07,0.0,6.103515625e-05,2.39218311296051,2.2617003977081187,0.001390814980788845,0.0022287251262942663,True,True,Large
Imbalance Strategy,Random Forest (SMOTE) vs Random Forest (Baseline),roc_auc,15,0.7135119535534874,0.7455483132736641,-0.03203635972017664,0.0020327663662785796,-61.0381447310656,2.1622964474371223e-18,0.0,6.103515625e-05,-15.759981201787669,-14.900345863508342,-0.03316206821213561,-0.030910651228217675,True,True,Large
Imbalance Strategy,Logistic Regression (Cost-Sensitive) vs Logistic Regression (Baseline),roc_auc,15,0.747579660474593,0.7475312439615259,4.84165130671288e-05,0.00045828352434296654,0.4091710454990995,0.6886051238229999,59.0,0.97796630859375,0.10564750966455264,0.09988491822830431,-0.00020537244351729987,0.00030220546965155744,False,False,Negligible
Imbalance Strategy,Logistic Regression (SMOTE) vs Logistic Regression (Baseline),roc_auc,15,0.7410195195620441,0.7475312439615259,-0.006511724399481755,0.001227214176283468,-20.550447217503404,7.43990738001101e-12,0.0,6.103515625e-05,-5.306102655367016,-5.016678874165178,-0.007191332957854273,-0.005832115841109237,True,True,Large
Recall Impact,XGBoost (Cost-Sensitive) vs XGBoost (Baseline),recall,15,0.6428526375153083,0.020469200104366408,0.6223834374109419,0.008711335803663123,276.70620699001125,1.429676875284285e-27,0.0,6.103515625e-05,71.44523543096906,67.54822258927985,0.6175592604405001,0.6272076143813837,True,True,Large
Recall Impact,Random Forest (Cost-Sensitive) vs Random Forest (Baseline),recall,15,0.6187380313157104,0.0010415041958391667,0.6176965271198712,0.007615685920956422,314.1316996755791,2.4213332689521295e-28,0.0,6.103515625e-05,81.10845609062319,76.68435848568011,0.6134791008304901,0.6219139534092524,True,True,Large
Recall Impact,Logistic Regression (Cost-Sensitive) vs Logistic Regression (Baseline),recall,15,0.6802056074338947,0.008452141630273155,0.6717534658036217,0.00854261938587839,304.5541265850303,3.7349999637394535e-28,0.0,6.103515625e-05,78.63553735217118,74.34632622387093,0.667022720871108,0.6764842107361354,True,True,Large
Financial Cost,XGBoost (Cost-Sensitive) vs XGBoost (Baseline),cost_per_applicant,15,0.5303477629770721,0.7964833641998237,-0.2661356012227513,0.007221473630292762,-142.73246765658098,1.509200226600256e-23,0.0,6.103515625e-05,-36.85336467980179,-34.8431811518126,-0.27013472002210487,-0.26213648242339777,True,True,Large
